"act","section_number","section_title","text","keywords","document_types_applicable","document_types_applicable__-"
"The Insolvency And Bankruptcy Code, 2016","123","Application by creditor","Application by creditor .—(1) The application for bankruptcy by the creditor shall be 
accompanied by — 
(a) the records of insolvency resolution process under taken under Chapter III;  
(b) a c opy of the order passed by the Adjudicating Authority under Chapter III permitting the 
creditor to apply for bankruptcy;  
(c) details of the debts owed by the debtor to the creditor as on the date of the application for 
bankr uptcy; and  
(d) such other in form ation as may be prescribed.  
(2) An application under sub -section ( 1) made in respect of a debt which is secured, shall be 
accompanied with — 
(a) a statement by the creditor having the right to enforce the security that he shall, in the event  
of a bankruptc y order being made, give up his security for the benefit of all the creditors of the 
bankrupt; or  
(b) a statement by the creditor stating — 
(i) that the application for bankruptcy is only in respect of the unsecured part of the debt; and  
(ii) an estimated value of the unsecured part of the debt.  
(3) If a secured creditor makes an application for bankruptcy and submits a statement under clause ( b) 
of sub -section ( 2), the secured and unsecured parts of the debt shall be treated as separate debts.  
(4) The cred itor may propose an insolvency professional as the bankruptcy trustee in the application 
for bankruptcy.  
(5) An application for bankruptcy under sub -section ( 1), in case of a deceased debtor, may be filed 
against his legal representatives.  
(6) The applicat ion for bankruptcy shall be in such form and manner and accompanied by such fee as 
may be prescribed.  
(7) An application for bankruptcy by the creditor shall not be withdrawn without the permission of 
the Adjudicating Authority.","creditor application","bankruptcy application",""
"","","","","bankruptcy application","application form",""
"","","","","insolvency resolution process records","records of insolvency resolution process",""
"","","","","Adjudicating Authority order","order of Adjudicating Authority",""
"","","","","Chapter III","statement of debt",""
"","","","","debt details","security statement",""
"","","","","secured debt","",""
"","","","","unsecured debt","",""
"","","","","security statement","",""
"","","","","insolvency professional","",""
"","","","","bankruptcy trustee","",""
"","","","","deceased debtor","",""
"","","","","legal representatives","",""
"","","","","application form","",""
"","","","","fee","",""
"","","","","withdrawal of application","",""
"The Insolvency And Bankruptcy Code, 2016","124","Effect of application","Effect of application .—(1) When an appl ication is filed under section 122 or section 123,— 
(a) an interim -moratorium shall commence on the date of the making of the application on all 
actions against the properties of the debtor in respect of his debts and such moratorium shall  cease to 
have effect on the bankruptcy commencement date; and  
(b) during  the interim -moratorium period — 
(i) any pending legal action or legal proceeding against any property of the debtor in respect 
of any of his debts shall be deemed to have been stayed;  
(ii) the creditors of the debtor shall not be entitled to initiate any legal action or legal 
proceedings against any property of the debtor in respect of any of his debts.  
(2) Where the application has been made in relation to a firm, the interim -morator ium under          
sub-section ( 1) shall operate against all the partners of the firm as on the date of the making of the 
application.  
(3) The provisions of this section shall not apply to such transactions as may be notified 
 by the 
Central Government in consultation with any financial sector regulator.","effect of application","bankruptcy application",""
